id,text,user,url,date
0,"Daripada membuang sampah-sampah ke tempat pembuangan sampah, kenapa sampah tersebut tidak dijatuhkan saja ke dalam gunung berapi?Sebentar … Anda belum pernah lihat gunung api dari dekat? Maksud saya lihat kawahnya? Ekspetasi anda akan seperti ini kan.Nah yang saya tahu bandung dekat sekali dengan gunung api, yaitu tangguban perahu.Gunung ini unik biasanya gunung berapi bentuknya kerucut. Tapi tangkuban parahu kerucutnya ke potong. Arti dari tangkuban parahu adalah perahu terbalik. Ada legendanya tentang seorang anak yg terpisah dari kecil tapi naksir sama ibunya yg awet muda saat anak tersebut dewasa. Dari rumah saya kalau lancar ga macet kira kira 30 menit. Jadi kalau saya mau buang sampah kesana enak kan, tinggal buang dan dilahap oleh lava yg bergejolak. Apalagi di Tangkuban parahau jalanan mulus sampai ke bibir kawahnya. Gunung Tangkuban Parahu adalah salah satu gunung berapi yg kawahnya bisa dicapai dengan kendaraan. Ekspektasinya seperti itu. Tapi maaf ferguso, kawah gunung jauh dari kata menyeramkan.Disana sudah jadi obyek wisata. Kalau saya buang sampah ke dalam kawahnya bisa bisa ditampol sama penjaganya dilihat sinis oleh pengunjung lain meski banyaknyg buang sampah sembarangan di sekitarnya. Mereka ga mau kawahnya akan berubah seperti ini  Lokasi di Bekasi tanah lapang isinya sampah, gara gara ada satu kantong kresek sampah yg kesepian, ternyata dia gaul abis temannya buaanyak. Ehh datang nemenin. Tidak semua gunung berapi kawahnya terlihat merah membara. Lagian anda ga bisa mendekati bibir kawahnya hanya pake pakaian biasa, puaanasnya pooooll.Selain itu kebanyakan gunung berapi kontur tanahnya terjal, sangat sulit sekali buka jalur untuk membuat jalan truk sampah. Biayanya mahal sekali, hanya buat mengotori puncak gunung. Ohya ada ide bagus, bagaimana kalau lavanya saja diajak jalan jalan ke tempat sampah.?Tapi kalau masih mau nekat buang sampah ke Kawah yg ada lava yang membara, silahkan ada beberapa kawah mirip LOTR, cuman ga banyak. Derweze TurkmenistanKamchatka RusiaHalemaumau HawaiiErta Ale EthiopiaMasaya Nicaragua",Tosa Santosa,https://id.quora.com/search?q=sampah%20bandung&type=answer,2022-10-06-13:08:31
1,"Topografi Bandung itu cekungan, lihat foto di atas. Jika gunung-gunung dan kawasan dataran tinggi yang mengelilingi Bandung itu mengalami penggundulan hutan, bisa diprediksi Bandung bakal banjir, itu mudah sekali. Jika tata kotanya tidak direncanakan dengan baik, ledakan populasi di kota cekungan ini bakal mengandung banyak konsekuensi destruktif semacam sampah dan kriminalitas. Beberapa sisi gelap Kota Bandung saat pernah tinggal disitu adalah sebagai berikut: Pemukiman KumuhBandung yang dibayangkan indah dengan suasana sejuk dan pagi berembun itu mungkin sudah lama hilang, kecuali bagian Stasiun Hall Kebon Kawung ke arah utara-atas. Kawasan Braga, Dago, sampai Ciumbuleuit dan Bandung Utara masih menyimpan kecantikan masa lalu. Begitu ke kawasan lain semacam Kopo, Antapani, Buah Batu, Soekarno Hatta, dan Bandung Selatan, suasananya jadi kumuh dan suram. Pekerjaan rumah besar buat Pemerintah Kota Bandung, untuk membagi kawasan dengan kota-kota satelit di Soreang, Bale Endah, dan Cimahi, supaya bebannya terangkat. MacetKawasan wisata dan perhotelan di Bandung terhubung dengan jalan arteri dan protokol sempit, sukar dibandingkan dengan Surabaya atau Semarang walaupun sama ibu kota propinsi di Jawa ya. Karena jalan yang sempit dan ketiadaan fasilitas parkiran luas, mobil jadi tumpah bikin macet. Bandung kemungkinan besar memang dirancang oleh Belanda buat jadi kota jalan kaki yang terhubung dengan angkutan publik, sayang pembangunan jalan tol yang menghubungkan dengan Jakarta membuat budayanya berubah. Orang-orang Jakarta yang gemar belanja ke Bandung di akhir pekan selalu menggunakan mobil buat gerak antar objek, dan jelas memicu kemacetan. SampahKalau sempat, coba naik motor keliling Bandung ke pasar-pasar tradisional semacam Simpang Dago, Pasar Caringin, Pasar Ciroyom, Pasar Tegalega, Pasar Baru, dan Pasar Caheum, berserakan sekali sampahnya. Ini berkaitan dengan soal kekumuhan di poin sebelumnya. Bandung punya banyak pekerjaan rumah tentang sampah BanjirBerkaitan dengan poin-poin sebelumnya, kekumuhan dan penggundulan, adalah banjir. Ini tidak terbayang 1 dekade lalu, Bandung bisa separah ini. Bandung jelas harus mengejar banyak ketertinggalan dengan Surabaya dan Semarang sih. Itu sisi gelap Bandung, yang menjadi pekerjaan rumah pemerintah dan warganya. Bandung kota yang indah dulunya, penduduknya juga ramah, sopan, halus perilakunya. Ledakan urbanisasi dan investasi properti harusnya bisa dimanfaatkan buat membagi peluang dengan kota-kota satelit, biar Bandung bisa lebih bernapas.",Julius Galih,https://id.quora.com/search?q=sampah%20bandung&type=answer,2022-10-06-13:08:31
2,"Jawaban ini saya dengar dari obrolan warung kopi yang berisi teman-teman ibu saya. Sebagai warga Bandung, menurut ibu dan temannya, RK membangun terlalu banyak taman tapi tidak diurus dengan baik, dan itu merupakan pemborosan anggaran. Seharusnya tiap taman dirawat juga setelah dibangun, bukannya dibiarkan begitu saja. Selain itu masalah kekumuhan, sungai kotor, dan sampah juga tidak dapat ditangani dengan baik. Kalau sempat ke Bandung, cobalah naik ke jembatan Pasupati, maka anda paham apa yang saya tuliskan. Intinya, RK bervisi mempercantik kota Bandung, tapi tidak tahu bagaimana cara merawatnya. Itulah yang membuat sebagian orang tidak menyukai RK.",Theodorus Alvin,https://id.quora.com/search?q=sampah%20bandung&type=answer,2022-10-06-13:08:31
3,"Sejak dibangun Daendels, nampaknya Bandung memang kota elit yang tidak menginduksi kota satelitnyaWarganya ramah dan terbuka, sayang kesenjangan ekonominya terlalu tampakWarganya artistik dan rupawan, sayang pengelolaan sampah kurang optimalBandung cocok jadi kota belanja dan istirahat, tapi ibukota Jawa Barat baiknya di Indramayu karena terkoneksi Jakarta-Semarang-Surabaya dari sisi perdagangan dan pelabuhanKampus negeri dan swastanya bagus di kota, tapi jalan kaki berjarak 10 kilometer (radius) masih ada warga putus sekolah di SMP, tragisTerlalu mengandalkan konsumsi, basis produksi terkonsentrasi di Padalarang nampaknya kurang berimbas ke ekonomi BandungKota yang warga dan kenyamanannya bikin kangen terus, sayangnya etos kerja juga jadi berkurang kalau tinggal lama di kota iniBandung selalu di hati, mari perbaiki bersama ya.",Julius Galih,https://id.quora.com/search?q=sampah%20bandung&type=answer,2022-10-06-13:08:31
4,"Saya pernah memiliki KTP Jakarta Selatan, dan sudah 20 tahun lebih hijrah ke Kota Bandung. Sebagai eks warga Jakarta, lahir dan besar disana, terkadang melihat mobil plat B yang bersliweran di kota Bandung setiap akhir pekan, saya mau menyampaikan uneg-uneg beserta solusinya disini.Bandung itu kota kecil manteman Jakarta, jadi kalau Anda minat untuk main atau liburan silakan saja kami amat sangat senang dan terbantu karena roda perekonomian kami dapat berputar kencang dengan kehadiran kalian semua, terima kasih! Namun, bila Anda ingin datang ke Bandung dalam jumlah besar, saya sarankan sebaiknya minimalkan penggunaan kendaraan pribadi, bila memungkinkan banyak kok kendaraan umum mulai dari shuttle bus, kereta api, hingga bus. Ditambah lagi di masa pandemi ini selama akhir pekan untuk kendaraan plat non D diberlakukan ganjil-genap. Jadi bantu kami ya kurangi kemacetan di kota ini. Selama lebih dari 20 tahun tinggal di Bandung, jarang sekali kami menggunakan klakson kendaraan berlebihan, bahkan di saat pertigaan atau perempatan ataupun lampu merah, warga kami cenderung mengalah dan diam bahkan saling mempersilahkan jalan duluan. Buat manteman Jakarta, cukup nikmati Bandung dan sedikit lebih sabar seperti kami, kurangi kebiasaan membunyikan klakson ya, terima kasih! Bandung itu indah, ya kami akui itu! Dan akan lebih indah kalau kota kami bersih dari sampah. Sejak kang Emil (bapak Ridwan Kamil) menjabat jadi walikota, ada aturan di setiap mobil wajib memiliki tong sampah kecil, jadi bila kami makan minum di dalam mobil, kami selalu mengumpulkan sisa-sisanya di dalam alih-alih di buang keluar ke jalan. Beberapa kali saya masih melihat mobil plat B membuang sampah ke jalan, entah itu tisu kecil, bungkus permen, atau sekedar abu rokok dari jendela mobil. Kami harap manteman Jakarta bisa bantu kami menjaga kota Bandung yang indah ini dengan memiliki tong sampah kecil di dalam mobil, terima kasih!",Mohammad Caesario,https://id.quora.com/search?q=sampah%20bandung&type=answer,2022-10-06-13:08:31
5,"Jujur sejujur jujurnya…. Bagi saya sangat tidak memuaskan. Kang Emil lebih banyak mengimplementasikan ide karya seninya (beliau seorang arsitek) untuk membangun banyak obyek ber biaya mahal dengan fungsi yang minimal. Satu contoh dari sekian banyak projectnya: Cihampelas Skywalk. Indah? Yes. Mahal? Yes. Berguna? Not sure. Ada atau nggak ada bangunan itu di Cihampelas Walk tidak akan meningkatkan kualitas hidup rakyat Bandung. Banyak hal lain yang lebih urgent yang bisa dia lakukan, tapi tidak dilakukan. Contohnya:Trotoar seluruh bandung rusak, tidak di rawat. Entah tidak ada dana atau dana ada tapi dikorupsi pihak tertentu. Kalau Anda berkunjung ke Bandung, cobalah berjalan kaki. Dimanapun bagian Bandung yang Anda kunjungi. Coba beritahu saya di mana yang trotoarnya utuh. Daripada dananya untuk membangun Cihampelas Skywalk, apakah tidak lebih baik digunakan untuk memperbaiki trotoar? Meskipun tidak akan cukup untuk memperbaiki trotoar seluruh Bandung, setidaknya bisa mencakup wilayah yang lebih luas daripada satu spot di Cihampelas.Di Bandung, dimana ada tanah terbuka, disitu ada sampah. Helllooooo…. Jakarta lebih gede dari Bandung. Kenapa Jakarta bisa, Bandung tidak? Please deh, siapkan sejenis pasukan orange, atau apalah yang setidaknya berusaha untuk membuat alam natural kita ini lebih baik. Edukasi? Sistim pengolahan sampah yang lebih baik? Penambahan fasilitas penanganan sampah? Anything…? Please…?Setelah puas marah² dan menggerutu… satu hal saya sadari dan membuat saya sangat bersyukur saat ini. Seburuk² nya kinerja kang Emil yang sekarang sudah menjadi gubernur baru Jawa Barat, dia jauh amat sangat lebih kompeten dari gubernur baru Jakarta yang mendapatkan posisinya dengan cara menipu rakyat dan memperkosa agama. Saya pilih kang Emil lohhhh.",Robby Hermanto,https://id.quora.com/search?q=sampah%20bandung&type=answer,2022-10-06-13:08:31
6,"Bagus. Bagus untuk kita jadikan bahan pelajaran tentang apa sesungguhnya yang sedang terjadi di tengah bangsa ini. Ulah ""prank sembako"" yang dilakukan oleh Youtuber Bandung, yang konon bernama Ferdian Paleka ini, hanyalah 'puncak gunung es' dari kegagalan kita (negara) membangun karakter (anak) bangsa yang berilmu, terampil, dan berakhlak mulia. Salah satu bidang yang bertanggung jawab terhadap pembentukan karakter bangsa itu adalah pendidikan.Youtuber yang Tega Kasih Waria Bingkisan Batu dan Sampah Pendidikan kita dalam praktik sehari-hari hanya sibuk membekali anak didik dengan pengetahuan dan ketrampilan yang orientasinya (pragmatis) lapangan kerja. Sementara pendidikan akhlak praktis terbengkalai. Pendidikan agama memang menjadi kurikulum wajib di semua jenjang pendidikan, tetapi pendidikan agama itu kebanyakan hanya fokus pada tata cara ibadah, sehingga kontribusi mata pelajaran agama dalam pembentukan akhlak mulia itu tidak signifikan.Boleh jadi para pemuda jahil (prank), Ferdian Paleka Cs itu, adalah anak-anak baik dan cerdas. Hanya saja, karena mereka tidak mendapat didikan dan tidak menemukan teladan yang baik tentang bagaimana menimbang-rasa dan bisa-merasa, maka mereka tidak mampu menarik batas antara ""bercanda dengan menghina"", antara ""menghibur dengan melecehkan"". Melihat gaya dan penampilan para pemuda 'usil' tersebut sepertinya mereka berasal dari keluarga kelas menengah (berada). Boleh jadi para pemuda itu memang sejak lahir belum pernah mengalami 'hidup susah'. Apa yang mereka perlukan: makan/minum, pakaian, uang jajan, hiburan, kebutuhan sekolah, kendaraan boleh jadi disediakan oleh orang tua mereka. Jika begitu keadaannya, ditambah dalam pendidikan tidak mendapat contoh pendidikan akhlak yang memadai, maka wajar jika mereka tidak bisa ber-sympathy pada masyarakat yang kurang beruntung. Sekarang, melihat begitu masif-nya hujatan masyarakat, mereka pasti akan berurusan dengan pihak berwajib. Semoga dari peristiwa ini, anak-anak muda 'jahil' itu bisa mendapat pelajaran moral yang berharga. BL, 4 Mei 2020",Mohammad Kanedi,https://id.quora.com/search?q=sampah%20bandung&type=answer,2022-10-06-13:08:31
7,"Twitter sama toxicnya dengan instagramAvenger: End Game overratedAndroid > iPhone, kamera Android < kamera iPhoneBandung overrated, walaupun saya tinggal di bandung tapi kalau saya mendengar cerita teman-teman saya tentang betapa bagusnya bandung, saya merasa apa yang mereka tahu tentang bandung sangat berlebihan dan banyak yang tidak sesuai dengan faktanya. contoh, bandung adalah kota yang sejuk.Jokes bapak-bapak underratedYoutube indonesia kebanyakan sampahShane Dawson dan Jeffree Star overratedTaruna dan/atau ""yang berseragam"" tidak semuanya bejatDonat j . co terlalu manisBoba brown sugar overrated, malah bikin diabetesReza arap overrated, tapi weird genius lagunya bagus-bagusAgnes Mo overratedNasi padang tidak terlalu enak. enak bila kita makan dalam keadaan lapar.anak-anak di asia harus membantu orangtuanya membuka mata bahwa kesuksesan bukan hanya tentang menjadi dokter, insinyur, jaksa.Ini adalah opini saya. Wajar bila ada yang tersinggung dan tidak setuju dengan pendapat saya mengenai hal-hal diatas karena ini adalah opini saya.",Nad Dira,https://id.quora.com/search?q=sampah%20bandung&type=answer,2022-10-06-13:08:31
8,"Kerja sosial aja bro. Menggantikan kerjaannya PPSU Jakarta/Bandung (sesuai wilayah hukum ybs), menyapu jalan protokol dan memungut sampah. Durasi kerja setidaknya boleh 6 jam sehari dan tanpa dibayar. Lama kerja sosialnya? Kalikan aja jumlah views atau followers terakhir dia dengan jumlah hari kerja sosialnya. Ada yang ngawasin tentunya. Kalau absen dan kabur, di-dor kakinya Biar tuh orang punya empati, tahu rasa gimana susahnya jadi orang lain. Mikir kalau mau ngerjain orang lain, yang nggak lucu juga. Gantian dong ngerjain orang lain, ya dikerjain balik dan dikasih kerjaan? Ya nggak? Sepakat nggak loe?😂",David Suryajadi,https://id.quora.com/search?q=sampah%20bandung&type=answer,2022-10-06-13:08:31
9,"Kenapa dulu Bandung menjadi lautan sampah, padahal ITB ada disana dan punya jurusan Teknik Lingkungan ? Keberadaan sebuah universitas ternama di sebuah kota tidak menjadi jaminan bhw kota itu akan lebih baik, karena masih banyak faktor-faktor lainnya yang menghambat kemajuan sebuah kota.",Sanggam Tobing,https://id.quora.com/search?q=sampah%20bandung&type=answer,2022-10-06-13:08:31
